x1	y1	z1
PTA	Eif4b	3.9
PTA	Eif4e	2.9
PTA	Eif4g1	1.8
PTA	Eif4g2	66.6
PTA	Eif4g3	12.4
PTA	Eif4h	9.6
PTA	Eif5	5.1
PTA	Eif5a	0.6
PTA	Eif5b	4.7
PTA	Elmo2	6.5
PTA	Elmod3	0.1
PTA	Elovl2	64.8
PTA	Elovl5	17.2
PTA	Elp2	10.8
PTA	Emd	0.1
PTA	Emg1	0.1
PTA	Emp2	0.8
PTA	Emx2	31.9
PTA	Enah	5.0
PTA	Enho	15.8
PTA	Enpp5	6.4
PTA	Ensa	6.8
PTA	Entpd2	0.1
PTA	Eny2	14.6
PTA	Ep300	4.5
PTA	Epas1	4.5
PTA	Epc1	13.7
PTA	Epdr1	1.5
PTA	Ephb1	0.1
PTA	Ephx1	23.5
PTA	Ephx2	1.0
PTA	Epn2	1.6
PTA	Eprs	7.7
PTA	Eps15	13.0
PTA	Eps15l1	10.2
PTA	Eps8	1.8
PTA	Erbb2ip	25.2
PTA	Erc1	2.0
PTA	Ergic3	16.9
PTA	Erh	1.3
PTA	Erlec1	3.5
PTA	Erlin2	5.4
PTA	Ermp1	1.1
PTA	Erp29	3.2
PTA	Erp44	7.2
PTA	Esd	25.1
PTA	Esf1	2.2
PTA	Etfa	12.2
PTA	Etfb	0.3
PTA	Etfdh	2.5
PTA	Etnk1	3.1
PTA	Etv1	15.0
PTA	Etv5	5.0
PTA	Evi5	0.8
PTA	Ewsr1	3.7
PTA	Exoc2	0.3
PTA	Exoc3	0.9
PTA	Exoc6b	2.2
PTA	Exosc3	0.2
PTA	Exosc7	0.1
PTA	Exosc9	0.1
PTA	Ext2	0.8
PTA	Extl2	0.5
PTA	Extl3	0.5
PTA	Eya1	4.8
PTA	Ezr	48.2
PTA	F3	55.5
PTA	Fabp5	4.4
PTA	Fabp7	70.1
PTA	Fads1	11.4
PTA	Fads2	9.6
PTA	Fah	0.6
PTA	Fahd1	0.7
PTA	Faim	0.2
PTA	Fam103a1	0.1
PTA	Fam107a	181.6
PTA	Fam120a	17.1
PTA	Fam162a	44.5
PTA	Fam163a	0.1
PTA	Fam165b	0.2
PTA	Fam168a	17.4
PTA	Fam168b	10.6
PTA	Fam171a1	9.0
PTA	Fam171b	66.9
PTA	Fam172a	1.5
PTA	Fam173a	0.2
PTA	Fam176a	0.1
PTA	Fam181b	1.2
PTA	Fam184a	23.2
PTA	Fam192a	5.2
PTA	Fam198a	3.9
PTA	Fam20a	0.1
PTA	Fam32a	0.2
PTA	Fam45a	1.0
PTA	Fam49a	1.3
PTA	Fam49b	2.3
PTA	Fam50a	0.8
PTA	Fam54b	7.8
PTA	Fam59a	3.9
PTA	Fam59b	1.9
PTA	Fam5c	7.4
